name,realname
06033,GLASTONBURY
06896,REDDING
ABINGTON,POMFRET
AMSTON,HEBRON
ANDOVER,ANDOVER
ANONIA,ANSONIA
ANSOINA,ANSONIA
ANSONIA,ANSONIA
ASHFORD,ASHFORD
ATTAWAUGN KILLINGLY,KILLINGLY
AVON,AVON
B RIDGEPORT,BRIDGEPORT
BALLIOUVILLE,KILLINGLY
BALLOUVILLE,KILLINGLY
BALOUVILLE,KILLINGLY
BALTIC,SPRAGUE
BALTIC HANOVER SPRAGUE,SPRAGUE
BALTIC SPRAGUE,SPRAGUE
BANFORD,BRANFORD
BANKSVILLE,GREENWICH
BANTAM,LITCHFIELD
BARKHAMPSTED,BARKHAMSTED
BARKHAMSTEAD,BARKHAMSTED
BARKHAMSTED,BARKHAMSTED
BBERLIN,BERLIN
BEACON FALL,BEACON FALLS
BEACON FALLS,BEACON FALLS
BEIDGEPORT,BRIDGEPORT
BELLE HAVEN,GREENWICH
BERLIN,BERLIN
BETANY,BETHANY
BETEL,BETHEL
BETHANY,BETHANY
BETHEL,BETHEL
BETHELHEM,BETHLEHEM
BETHLEHAM,BETHLEHEM
BETHLEHEM,BETHLEHEM
BETHLEHM,BETHLEHEM
BGRIDGEPORT,BRIDGEPORT
BIRDGEPORT,BRIDGEPORT
BIRSTOL,BRISTOL
BLACK HALL,OLD LYME
BLACK POINT,NORFOLK
BLACK ROCK,BRIDGEPORT
BLATIC,SPRAGUE
BLOMFIELD,BLOOMFIELD
BLOOMFIED,BLOOMFIELD
BLOOMFIELD,BLOOMFIELD
BLOOOMFIELD,BLOOMFIELD
BLOOMFIELDCT,BLOOMFIELD
BLOOMFILED,BLOOMFIELD
BLOOMFIRLD,BLOOMFIELD
BLOOMSFIELD,BLOOMFIELD
BOLTON,BOLTON
BOTSFORD,NEWTOWN
BOZRAH,BOZRAH
BPT,BRIDGEPORT
BPT.,BRIDGEPORT
BRANCHVILLE,RIDGEFIELD
BRANDFORD,BRANFORD
BRANFORD,BRANFORD
BRDGEPORT,BRIDGEPORT
BRDIEGPORT,BRIDGEPORT
BRDIGEPORT,BRIDGEPORT
BRIDEGEPORT,BRIDGEPORT
BRIDEGPORT,BRIDGEPORT
BRIDEPORT,BRIDGEPORT
BRIDGE PORT,BRIDGEPORT
BRIDGEORT,BRIDGEPORT
BRIDGEPOR,BRIDGEPORT
BRIDGEPORGT,BRIDGEPORT
BRIDGEPORPT,BRIDGEPORT
BRIDGEPORT,BRIDGEPORT
BRIDGEPORTR,BRIDGEPORT
BRIDGEPPORT,BRIDGEPORT
BRIDGEPROT,BRIDGEPORT
BRIDGEPRT,BRIDGEPORT
BRIDGERPORT,BRIDGEPORT
BRIDGESPORT,BRIDGEPORT
BRIDGEWATER,BRIDGEWATER
BRIDGGEPORT,BRIDGEPORT
BRIDGIEPORT,BRIDGEPORT
BRIDGPEORT,BRIDGEPORT
BRIDGPEPORT,BRIDGEPORT
BRIDGPORT,BRIDGEPORT
BRIFGEPORT,BRIDGEPORT
BRIGDEPORT,BRIDGEPORT
BRIGEPORT,BRIDGEPORT
BRISROL,BRISTOL
BRISTIOL,BRISTOL
BRISTL,BRISTOL
BRISTO,BRISTOL
BRISTOL,BRISTOL
BRISTOLC,BRISTOL
BRISTROL,BRISTOL
BRITAIN,NEW BRITAIN
BROAD BROOK,EAST WINDSOR
BROAD BROOK EAST WINDSOR,EAST WINDSOR
BROAD BRROK,EAST WINDSOR
BROADBROOK,EAST WINDSOR
BROARD BROOK,EAST WINDSOR
BRODGEPORT,BRIDGEPORT
BROOKFIELD,BROOKFIELD
BROOKFIELD JCT,BROOKFIELD
BROOKFIELDCT,BROOKFIELD
BROOKLN,BROOKLYN
BROOKLUN,BROOKLYN
BROOKLYN,BROOKLYN
BROOKLYN RD,BROOKLYN
BROOKYLN,BROOKLYN
BROOKYLYN,BROOKLYN
BRSITOL,BRISTOL
BURLINGTON,BURLINGTON
BYRAM,GREENWICH
CANAAN,CANAAN
CANDLEWOOD LAKE,NEW MILFORD
CANNONDALE,WILTON
CANTEBURY,CANTERBURY
